row,col,Location,Cam__,Lat,Long,Join1,X,Y,Location.1,Cam__.1,Lat.1,Long.1,Join1.1,X.1,Y.1,lineWKT
80,83,OU,14,47.03647,-90.42636,OU14,487608.331,729304.152,OU,17,47.04531,-90.42563,OU17,487669.133,730286.213,"LINESTRING(487608.3 729304.2,487669.1 730286.2)"
82,83,OU,16,47.04602,-90.43922,OU16,486637.264,730370.815,OU,17,47.04531,-90.42563,OU17,487669.133,730286.213,"LINESTRING(486637.3 730370.8,487669.1 730286.2)"
81,84,OU,15,47.03605,-90.41317,OU15,488610.178,729252.106,OU,18,47.04535,-90.41261,OU18,488658.17,730285.363,"LINESTRING(488610.2 729252.1,488658.2 730285.4)"
83,84,OU,17,47.04531,-90.42563,OU17,487669.133,730286.213,OU,18,47.04535,-90.41261,OU18,488658.17,730285.363,"LINESTRING(487669.1 730286.2,488658.2 730285.4)"
21,85,CA,5,47.03578,-90.56935,CA5,476744.306,729296.554,OU,19,47.05474,-90.45169,OU19,485695.633,731345.234,"LINESTRING(476744.3 729296.6,485695.6 731345.2)"
82,86,OU,16,47.04602,-90.43922,OU16,486637.264,730370.815,OU,20,47.05467,-90.43755,OU20,486769.491,731331.354,"LINESTRING(486637.3 730370.8,486769.5 731331.4)"
85,86,OU,19,47.05474,-90.45169,OU19,485695.633,731345.234,OU,20,47.05467,-90.43755,OU20,486769.491,731331.354,"LINESTRING(485695.6 731345.2,486769.5 731331.4)"
83,87,OU,17,47.04531,-90.42563,OU17,487669.133,730286.213,OU,21,47.05417,-90.42551,OU21,487683.601,731270.749,"LINESTRING(487669.1 730286.2,487683.6 731270.7)"
86,87,OU,20,47.05467,-90.43755,OU20,486769.491,731331.354,OU,21,47.05417,-90.42551,OU21,487683.601,731270.749,"LINESTRING(486769.5 731331.4,487683.6 731270.7)"
84,88,OU,18,47.04535,-90.41261,OU18,488658.17,730285.363,OU,22,47.05437,-90.41157,OU22,488742.44,731287.314,"LINESTRING(488658.2 730285.4,488742.4 731287.3)"
87,88,OU,21,47.05417,-90.42551,OU21,487683.601,731270.749,OU,22,47.05437,-90.41157,OU22,488742.44,731287.314,"LINESTRING(487683.6 731270.7,488742.4 731287.3)"
87,89,OU,21,47.05417,-90.42551,OU21,487683.601,731270.749,OU,24,47.0633,-90.4252,OU24,487712.657,732285.214,"LINESTRING(487683.6 731270.7,487712.7 732285.2)"
88,90,OU,22,47.05437,-90.41157,OU22,488742.44,731287.314,OU,25,47.0630333,-90.4120167,OU25,488713.582,732250.221,"LINESTRING(488742.4 731287.3,488713.6 732250.2)"
89,90,OU,24,47.0633,-90.4252,OU24,487712.657,732285.214,OU,25,47.0630333,-90.4120167,OU25,488713.582,732250.221,"LINESTRING(487712.7 732285.2,488713.6 732250.2)"
90,91,OU,25,47.0630333,-90.4120167,OU25,488713.582,732250.221,OU,26,47.0626833,-90.3988333,OU26,489714.478,732206.14,"LINESTRING(488713.6 732250.2,489714.5 732206.1)"
43,92,NO,2,47.07148,-90.58515,NO2,475573.568,733272.638,OU,27,47.07224,-90.42474,OU27,487752.979,733278.503,"LINESTRING(475573.6 733272.6,487753.0 733278.5)"
89,92,OU,24,47.0633,-90.4252,OU24,487712.657,732285.214,OU,27,47.07224,-90.42474,OU27,487752.979,733278.503,"LINESTRING(487712.7 732285.2,487753.0 733278.5)"
90,93,OU,25,47.0630333,-90.4120167,OU25,488713.582,732250.221,OU,28,47.07212,-90.41159,OU28,488751.295,733259.833,"LINESTRING(488713.6 732250.2,488751.3 733259.8)"
92,93,OU,27,47.07224,-90.42474,OU27,487752.979,733278.503,OU,28,47.07212,-90.41159,OU28,488751.295,733259.833,"LINESTRING(487753.0 733278.5,488751.3 733259.8)"
91,94,OU,26,47.0626833,-90.3988333,OU26,489714.478,732206.14,OU,29,47.07179,-90.39828,OU29,489761.645,733217.931,"LINESTRING(489714.5 732206.1,489761.6 733217.9)"
93,94,OU,28,47.07212,-90.41159,OU28,488751.295,733259.833,OU,29,47.07179,-90.39828,OU29,489761.645,733217.931,"LINESTRING(488751.3 733259.8,489761.6 733217.9)"
9,96,BE,1,47.00343,-90.75787,BE1,462386.815,725823.025,RA,2,46.97736,-90.79383,RA2,459623.775,722953.06,"LINESTRING(462386.8 725823.0,459623.8 722953.1)"
10,96,BE,2,47.01238,-90.77095,BE2,461402.26,726827.304,RA,2,46.97736,-90.79383,RA2,459623.775,722953.06,"LINESTRING(461402.3 726827.3,459623.8 722953.1)"
53,96,OA,10,46.94504,-90.75846,OA10,462279.167,719334.858,RA,2,46.97736,-90.79383,RA2,459623.775,722953.06,"LINESTRING(462279.2 719334.9,459623.8 722953.1)"
57,96,OA,14,46.9542,-90.74543,OA14,463280.468,720343.251,RA,2,46.97736,-90.79383,RA2,459623.775,722953.06,"LINESTRING(463280.5 720343.3,459623.8 722953.1)"
95,96,RA,1,46.97349,-90.80185,RA1,459009.396,722529.216,RA,2,46.97736,-90.79383,RA2,459623.775,722953.06,"LINESTRING(459009.4 722529.2,459623.8 722953.1)"
15,97,BE,7,47.02108,-90.74455,BE7,463418.05,727774.687,RO,1,47.02305,-90.68793,RO1,467722.824,727954.251,"LINESTRING(463418.0 727774.7,467722.8 727954.3)"
65,97,OT,6,47.00544,-90.69263,OT6,467348.353,726000.47,RO,1,47.02305,-90.68793,RO1,467722.824,727954.251,"LINESTRING(467348.4 726000.5,467722.8 727954.3)"
66,97,OT,7,47.00516,-90.67934,OT7,468358.356,725960.507,RO,1,47.02305,-90.68793,RO1,467722.824,727954.251,"LINESTRING(468358.4 725960.5,467722.8 727954.3)"
15,98,BE,7,47.02108,-90.74455,BE7,463418.05,727774.687,RO,2,47.03205,-90.68768,RO2,467750.606,728954.222,"LINESTRING(463418.0 727774.7,467750.6 728954.2)"
97,98,RO,1,47.02305,-90.68793,RO1,467722.824,727954.251,RO,2,47.03205,-90.68768,RO2,467750.606,728954.222,"LINESTRING(467722.8 727954.3,467750.6 728954.2)"
98,99,RO,2,47.03205,-90.68768,RO2,467750.606,728954.222,RO,3,47.03181,-90.67461,RO3,468743.431,728918.912,"LINESTRING(467750.6 728954.2,468743.4 728918.9)"
